,headline,label,importance
7,Why Is Ametek (AME) Down 5.3% Since Last Earnings Report?,Negative,minor
15,Positive earnings growth hasn't been enough to get PPG Industries (NYSE:PPG) shareholders a favorable return over the last year,Negative,minor
23,Arch Capital (ACGL) Q1 Earnings & Revenues Miss Estimates,Negative,minor
31,CarMaxs Earnings Were Weak. Why This Analyst Downgraded the Stock.,Negative,minor
39,Gartner revises 2022 mobile sales estimates to fall 7.1%,Negative,minor
47,Abbott (ABT) Stock Moves -1.73%: What You Should Know,Negative,minor
55,PepsiCo (PEP) Stock Moves -1.78%: What You Should Know,Negative,minor
63,Conagra Brands Misses on Q2 Earnings on Higher Inflation,Negative,minor
71,"Online Travels Letters to Shareholders Should Nix the Fluff, Stick to Facts",Negative,neutral
79,Staples Stocks Are Usually a Safe Bet. Why Theyre Getting Crushed.,Negative,minor
87,"Auto demand could face a 'real problem' amid rising rates, sky-high gas prices",Negative,major
95,Federal Realty Investment Trust (FRT) Stock Moves -1.24%: What You Should Know,Negative,minor
103,"Fed looks dead set on tightening financial conditions until the economy slows, warns BlackRock",Negative,major
111,Is the Show Over for Netflix?,Negative,minor
119,Earnings Preview: International Flavors (IFF) Q4 Earnings Expected to Decline,Negative,minor
127,Housing market seeing more balance as mortgage rates climb: Economist,Negative,minor
135,Market strategist: 'We are in an extreme whoosh' and should act accordingly,Negative,major
143,Abortion: How corporate America is responding to the Supreme Court ruling,Negative,major
151,Market is not liking Xerox Holdings' (NASDAQ:XRX) earnings decline as stock retreats 15% this week,Negative,minor
159,CHIPOTLE TESTS GARLIC GUAJILLO STEAK IN SELECT MARKETS,Negative,neutral
167,"Cisco, Nike quit Russia, as pace of Western firms leaving speeds up",Negative,major
175,Earnings Preview: Perrigo (PRGO) Q1 Earnings Expected to Decline,Negative,minor
183,"Mainstay Vp Funds Trust Buys Cigna Corp, Dominion Energy Inc, Siemens AG, Sells PNC Financial ...",Negative,neutral
191,American Airlines (AAL) Stock Sinks As Market Gains: What You Should Know,Negative,minor
199,Best Buy (BBY) Misses Q1 Earnings Estimates,Negative,minor
207,"Best Buy's (BBY) Q1 Earnings Miss, Comparable Sales Fall 8%",Negative,minor
